,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
524,3766309296,Afternoon Run,2020-07-15T16:51:49Z,Run,2331.0,683,688,34.0,[],32720677543.tcx
525,3749866718,Lunch Run,2020-07-12T11:21:47Z,Run,6203.7,2066,2096,55.5,"[-26.114922, 28.019014]",32630378657.tcx
526,3715475188,Morning Walk,2020-07-05T09:27:37Z,Walk,3148.2,2071,2071,51.7,"[-26.087504, 27.955444]",32455532254.tcx
527,3688351281,Afternoon Run,2020-06-29T16:30:37Z,Run,5074.4,1483,1492,73.5,[],32319395424.tcx
528,3662559739,Morning Walk,2020-06-24T08:03:00Z,Walk,3003.0,2136,2136,66.1,"[-26.052878, 27.984409]",32196226809.tcx
529,3657529554,Morning Run,2020-06-23T10:31:09Z,Run,5008.2,1440,1445,72.9,[],32157480883.tcx
530,3653768343,Afternoon Run,2020-06-22T16:22:07Z,Run,5091.6,1453,1475,74.3,[],32141021885.tcx
531,3638423153,Afternoon Run,2020-06-19T15:42:57Z,Run,3206.0,916,1026,47.9,[],32081883279.tcx
532,3633259341,Afternoon Run,2020-06-18T13:29:09Z,Run,5076.1,1433,2436,61.8,[],32057698499.tcx
533,3628719261,Afternoon Run,2020-06-17T14:36:46Z,Run,5049.1,1504,1896,73.9,[],32026587466.tcx
534,3618525630,Afternoon Run,2020-06-15T15:33:14Z,Run,5148.8,1514,1683,74.9,[],31970708409.tcx
535,3613057873,Morning Walk,2020-06-14T10:25:23Z,Walk,10228.5,9842,12939,270.8,"[-25.805082, 28.351265]",31937449881.tcx
536,3598232029,Afternoon Run,2020-06-11T14:48:17Z,Run,24033.9,7564,8660,520.9,"[-26.052995, 27.984477]",31871922226.tcx
537,3591760611,Morning Run,2020-06-10T09:45:31Z,Run,5163.1,1504,1512,67.1,"[-26.10302, 27.962867]",31839755218.tcx
538,3588130661,Afternoon Run,2020-06-09T16:41:06Z,Run,5149.6,1513,1564,64.1,"[-26.10303, 27.962939]",31807591778.tcx
539,3576140891,Morning Run,2020-06-07T08:59:40Z,Run,21189.1,6759,8154,481.8,"[-26.052942, 27.984405]",31745100131.tcx
540,3571545187,Lunch Run,2020-06-06T12:55:04Z,Run,3106.2,935,1274,44.0,[],31740350988.tcx
541,3566300985,Morning Walk,2020-06-05T08:00:46Z,Walk,6710.9,4399,5883,128.6,"[-26.087346, 27.955431]",31711205586.tcx
542,3562822329,Afternoon Run,2020-06-04T13:28:56Z,Run,19210.2,5769,7358,406.5,"[-26.052968, 27.98445]",31678935067.tcx
543,3557796171,Afternoon Run,2020-06-03T15:19:38Z,Run,3012.4,874,928,20.2,"[-26.103034, 27.962862]",31661510422.tcx
544,3552438915,Afternoon Run,2020-06-02T14:58:27Z,Run,5168.5,1423,1459,67.1,"[-26.103198, 27.963262]",31640757260.tcx
545,3539444104,Morning Run,2020-05-31T07:22:07Z,Run,17056.6,5053,5587,237.3,"[-26.052986, 27.98434]",31567167380.tcx
546,3533766820,Morning Walk,2020-05-30T07:40:48Z,Run,3108.4,2396,2828,68.9,"[-26.052772, 27.984348]",31564818130.tcx
547,3523933935,Morning Run,2020-05-28T07:24:58Z,Run,16500.2,4753,5169,293.2,"[-26.087515, 27.955391]",31505732763.tcx
548,3519911531,Afternoon Run,2020-05-27T15:16:54Z,Run,3108.0,883,1019,46.0,[],31474435776.tcx
549,3514880483,Afternoon Run,2020-05-26T17:06:26Z,Run,5049.4,1452,1701,73.9,[],31457729432.tcx
550,3501626468,Morning Run,2020-05-24T07:33:45Z,Run,15129.1,4365,4801,269.0,"[-26.087517, 27.955441]",31403591637.tcx
551,3496590184,Morning Walk,2020-05-23T07:38:57Z,Walk,6009.9,4218,5711,116.5,"[-26.087574, 27.95543]",31371009857.tcx
552,3486045218,Morning Run,2020-05-21T07:01:29Z,Run,14106.4,4079,4382,233.3,"[-26.087501, 27.955417]",31305869131.tcx
553,3482682439,Afternoon Run,2020-05-20T16:31:05Z,Run,4004.2,1163,1259,56.3,[],31261520482.tcx
554,3471288562,Afternoon Run,2020-05-18T14:55:56Z,Run,4251.1,1274,1280,60.4,[],31197174652.tcx
555,3463839507,Morning Run,2020-05-17T07:31:18Z,Run,13144.8,4221,5070,221.1,"[-26.087508, 27.955388]",31171965927.tcx
556,3457967720,Morning Walk,2020-05-16T07:42:40Z,Walk,3004.9,2041,2041,64.1,"[-26.053025, 27.984527]",7491CA72-8236-46E9-865C-526E3B382C1A-activity.fit
557,3453443231,Morning Walk,2020-05-15T07:30:32Z,Walk,7354.7,4790,6021,134.9,"[-26.087443, 27.95546]",31125753848.tcx
558,3450147914,Afternoon Run,2020-05-14T16:07:51Z,Run,12034.9,3566,4711,173.9,[],31103232906.tcx
559,3444695590,Afternoon Run,2020-05-13T16:15:19Z,Run,3251.8,886,1266,56.2,[],31058893504.tcx
560,3439370695,Afternoon Run,2020-05-12T16:06:09Z,Run,3146.1,934,943,53.3,[],31024099004.tcx
561,3434906998,Afternoon Run,2020-05-11T16:38:03Z,Run,10060.9,2911,3734,173.7,[],31016513109.tcx
562,3424782129,Afternoon Run,2020-05-09T16:54:18Z,Run,2501.1,733,741,41.0,[],30971848921.tcx
563,3418880520,Afternoon Run,2020-05-08T14:54:46Z,Run,10150.9,2955,5240,174.2,[],30940716580.tcx
564,3413436805,Afternoon Run,2020-05-07T16:35:56Z,Run,3190.7,908,1270,54.7,[],30895304516.tcx
565,3408251548,Afternoon Run,2020-05-06T17:08:45Z,Run,5129.7,1441,2105,91.0,[],30872840053.tcx
566,3402224852,Afternoon Run,2020-05-05T16:57:45Z,Run,4037.3,1143,1234,68.3,[],30841353496.tcx
567,3397007585,Afternoon Run,2020-05-04T17:31:13Z,Run,3141.1,889,937,54.9,[],30821429304.tcx
568,3382916114,Morning Run,2020-05-02T06:40:35Z,Run,3069.3,932,1191,54.1,[],30770322874.tcx
569,3375397040,Afternoon Run,2020-04-30T16:33:30Z,Run,3017.6,911,1168,53.3,[],30719358951.tcx
570,3371036893,Afternoon Run,2020-04-29T16:23:30Z,Run,8204.2,2446,3518,140.7,[],30702112336.tcx
571,3365723886,Afternoon Run,2020-04-28T14:53:37Z,Run,3095.7,916,1743,54.3,[],30674227223.tcx
572,3360439211,Lunch Run,2020-04-27T11:40:33Z,Run,7006.0,2039,3100,122.4,[],30646623245.tcx
573,3355017073,Morning Run,2020-04-26T09:48:33Z,Run,5866.4,1693,2872,104.5,[],30616978621.tcx
574,3349922125,Lunch Run,2020-04-25T12:27:14Z,Run,4618.2,1326,2349,82.2,[],30591212555.tcx
575,3344881921,Lunch Run,2020-04-24T11:19:56Z,Run,3401.9,1004,1281,45.9,[],30568209871.tcx
